Ma Sach,Ten sach,The loai,Tac gia,1
1,Hat giong tam hon 1,Cuoc song,Nguyen Van A,3
2,Giai tich 2,Dai cuong,Nguyen Van B,89
3,Kinh doanh thoi dai moi,Kinh doanh,Nguyen Van C,1
4,SQL,Tin hoc,Nguyen Van D,7
5,JavaScript,Tin hoc co ban,Nguyen Van E,3
6,Microsoft .NET,tin hoc NC,Nguyen Van F,7
7,OOP in Java,Tin hoc co ban,Nguyen Van G,10
8,C++ Advance,tin hoc NC,Nguyen Van H,121
9,Information system,Tin hoc,Nguyen Van I,4
10,English - Vietnamese Dictionary,Tu dien,Nguyen Van J,0
11,Android app,Tin hoc,Nguyen Van K,5
12,Human Compatible,Tin hoc co ban,Nguyen Van L,4233
13,Machine Learning for Designer,tin hoc NC,Nguyen Van M,42
14,Image Processing,Tin hoc,Nguyen Van N,6
15,STM32,Dien tu,Nguyen Van A,63
16,Artifical Intelligence,Tin hoc,Nguyen Van B,24
17,Yeu thuong ai cung nhu ai,Cuoc song,Nguyen Van C,5
18,Tu duy ky thuat so,Tin hoc co ban,Nguyen Van D,2
19,5.0 in the furture,tin hoc NC,Nguyen Van E,5
20,G102 - Logitech,Huong dan,Nguyen Van F,6
21,yAyusi,Huong dan,Nguyen Van G,3
22,Mobiistar - dien thoai,Huong dan,Nguyen Van H,4
23,Vat Ly,Dai cuong,Nguyen Van I,2
24,Giai tich 1,Dai cuong,Nguyen Van J,1
25,Solution E1,Anh van,Nguyen Van K,7
26,FBI - USA,Trinh tham,Nguyen Van L,55
27,Vat Ly 2,Dai cuong,Nguyen Van A,9
28,Vat Ly ban dan,Dai cuong,Nguyen Van B,9
29,Linh kien dien tu,Dien tu,Nguyen Van C,21
30,Trieu Dai Viet Nam,Lich su,Nguyen Van D,3
31,Lich Su Van Minh The Gioi,Lich su,Nguyen Van E,5
32,Du Hanh Nam Ha,Lich su,Nguyen Van F,3
33,Can Ham Toi,Trinh tham,Nguyen Van G,3
34,Hoi Tho Cuoi Cung,Trinh tham,Nguyen Van H,8
35,Du Lieu Tu Than,Trinh tham,Nguyen Van I,9
36,Sherlock Homes - tap 1,Trinh tham,Nguyen Van J,12
37,Sherlock Homes - tap 2,Trinh tham,Nguyen Van K,11
38,Sherlock Homes - tap 3,Trinh tham,Nguyen Van L,16
39,Dam That Bai,Kinh doanh,Nguyen Van M,16
40,Kinh Te 4,Kinh doanh,Nguyen Van A,0
41,Naruto,Truyen tranh,Nguyen Van B,27
42,Toan dai cuong,Dai cuong,Nguyen Van C,10
43,Toan dai cuong,Dai cuong,Ho Van D,3
44,Giai tich 1,Dai cuong,Nguyen Van E,1
45,Solution E1,Anh van,Nguyen Van F,6
46,FBI - USA,Trinh tham,Nguyen Van G,55
47,Vat Ly 2,Dai cuong,Nguyen Van H,9
48,Vat Ly ban dan,Dai cuong,Nguyen Van I,9
49,Linh kien dien tu,Dien tu,Nguyen Van J,21
50,Trieu Dai Viet Nam,Lich su,Nguyen Van K,3
51,Lich Su Van Minh The Gioi,Lich su,Nguyen Van L,1
52,Du Hanh Nam Ha,Lich su,Nguyen Van A,1
53,Can Ham Toi,Trinh tham,Nguyen Van B,3
54,Hoi Tho Cuoi Cung,Trinh tham,Nguyen Van C,8
55,Du Lieu Tu Than,Trinh tham,Nguyen Van D,9
56,Toan roi rac,Toan hoc,Co Nhu,2
57,Doraemon,Truyen tranh,Co Nhu,100
